gameId,playId,nflId,displayName,frameId,frameType,time,jerseyNumber,club,playDirection,x,y,s,a,dis,o,dir,event,filter_id,week,xpass,pPass,away_team,home_team,posteam,defteam,qtr,down,ydstogo,posteam_score,defteam_score,desc,home_team_color,home_team_color2,away_team_color,away_team_color2
2022091810,2785,35470,Jerry Hughes,47,BEFORE_SNAP,2022-09-18T22:25:59Z,55,HOU,left,67.32,27.75,1.67,1.11,0.18,84.06,21.77,NA,20220918102785,2,0.513918698,0.147204235,HOU,DEN,DEN,HOU,3,1,10,6,9,"(7:56) 33-J.Williams right end to DEN 44 for 2 yards (50-M.Dwumfour, 5-J.Pitre). HOU-57-K.Pierre-Louis was injured during the play.",#002244,#FB4F14,#03202F,#A71930
2022091810,2785,35470,Jerry Hughes,48,BEFORE_SNAP,2022-09-18T22:25:59Z,55,HOU,left,67.38,27.9,1.55,1.17,0.16,89.98,22.64,NA,20220918102785,2,0.513918698,0.147204235,HOU,DEN,DEN,HOU,3,1,10,6,9,"(7:56) 33-J.Williams right end to DEN 44 for 2 yards (50-M.Dwumfour, 5-J.Pitre). HOU-57-K.Pierre-Louis was injured during the play.",#002244,#FB4F14,#03202F,#A71930
2022091810,2785,35470,Jerry Hughes,49,BEFORE_SNAP,2022-09-18T22:25:59Z,55,HOU,left,67.44,28.02,1.38,1.29,0.14,94.15,23.76,NA,20220918102785,2,0.513918698,0.147204235,HOU,DEN,DEN,HOU,3,1,10,6,9,"(7:56) 33-J.Williams right end to DEN 44 for 2 yards (50-M.Dwumfour, 5-J.Pitre). HOU-57-K.Pierre-Louis was injured during the play.",#002244,#FB4F14,#03202F,#A71930
2022091810,2785,35470,Jerry Hughes,50,BEFORE_SNAP,2022-09-18T22:25:59Z,55,HOU,left,67.49,28.14,1.21,1.38,0.12,96.9,24.3,NA,20220918102785,2,0.513918698,0.147204235,HOU,DEN,DEN,HOU,3,1,10,6,9,"(7:56) 33-J.Williams right end to DEN 44 for 2 yards (50-M.Dwumfour, 5-J.Pitre). HOU-57-K.Pierre-Louis was injured during the play.",#002244,#FB4F14,#03202F,#A71930
2022091810,2785,35470,Jerry Hughes,51,BEFORE_SNAP,2022-09-18T22:25:59Z,55,HOU,left,67.54,28.23,1.04,1.46,0.11,97.6,26.18,NA,20220918102785,2,0.513918698,0.147204235,HOU,DEN,DEN,HOU,3,1,10,6,9,"(7:56) 33-J.Williams right end to DEN 44 for 2 yards (50-M.Dwumfour, 5-J.Pitre). HOU-57-K.Pierre-Louis was injured during the play.",#002244,#FB4F14,#03202F,#A71930
2022091810,2785,35470,Jerry Hughes,52,BEFORE_SNAP,2022-09-18T22:25:59Z,55,HOU,left,67.58,28.32,0.87,1.41,0.09,98.71,25.98,NA,20220918102785,2,0.513918698,0.147204235,HOU,DEN,DEN,HOU,3,1,10,6,9,"(7:56) 33-J.Williams right end to DEN 44 for 2 yards (50-M.Dwumfour, 5-J.Pitre). HOU-57-K.Pierre-Louis was injured during the play.",#002244,#FB4F14,#03202F,#A71930
2022091810,2785,35470,Jerry Hughes,53,BEFORE_SNAP,2022-09-18T22:25:59Z,55,HOU,left,67.61,28.39,0.71,1.34,0.08,97.21,26.3,NA,20220918102785,2,0.513918698,0.147204235,HOU,DEN,DEN,HOU,3,1,10,6,9,"(7:56) 33-J.Williams right end to DEN 44 for 2 yards (50-M.Dwumfour, 5-J.Pitre). HOU-57-K.Pierre-Louis was injured during the play.",#002244,#FB4F14,#03202F,#A71930
2022091810,2785,35470,Jerry Hughes,54,BEFORE_SNAP,2022-09-18T22:25:59Z,55,HOU,left,67.64,28.44,0.56,1.24,0.06,97.21,28.93,NA,20220918102785,2,0.513918698,0.147204235,HOU,DEN,DEN,HOU,3,1,10,6,9,"(7:56) 33-J.Williams right end to DEN 44 for 2 yards (50-M.Dwumfour, 5-J.Pitre). HOU-57-K.Pierre-Louis was injured during the play.",#002244,#FB4F14,#03202F,#A71930
2022091810,2785,35470,Jerry Hughes,55,BEFORE_SNAP,2022-09-18T22:26:00Z,55,HOU,left,67.67,28.48,0.43,1.11,0.05,97.21,31.72,NA,20220918102785,2,0.513918698,0.147204235,HOU,DEN,DEN,HOU,3,1,10,6,9,"(7:56) 33-J.Williams right end to DEN 44 for 2 yards (50-M.Dwumfour, 5-J.Pitre). HOU-57-K.Pierre-Louis was injured during the play.",#002244,#FB4F14,#03202F,#A71930
2022091810,2785,35470,Jerry Hughes,56,BEFORE_SNAP,2022-09-18T22:26:00Z,55,HOU,left,67.69,28.51,0.34,0.92,0.04,97.21,33.27,NA,20220918102785,2,0.513918698,0.147204235,HOU,DEN,DEN,HOU,3,1,10,6,9,"(7:56) 33-J.Williams right end to DEN 44 for 2 yards (50-M.Dwumfour, 5-J.Pitre). HOU-57-K.Pierre-Louis was injured during the play.",#002244,#FB4F14,#03202F,#A71930
2022091810,2785,35470,Jerry Hughes,57,BEFORE_SNAP,2022-09-18T22:26:00Z,55,HOU,left,67.71,28.54,0.25,0.77,0.03,97.21,40.18,NA,20220918102785,2,0.513918698,0.147204235,HOU,DEN,DEN,HOU,3,1,10,6,9,"(7:56) 33-J.Williams right end to DEN 44 for 2 yards (50-M.Dwumfour, 5-J.Pitre). HOU-57-K.Pierre-Louis was injured during the play.",#002244,#FB4F14,#03202F,#A71930
2022091810,2785,35470,Jerry Hughes,58,BEFORE_SNAP,2022-09-18T22:26:00Z,55,HOU,left,67.72,28.55,0.17,0.67,0.02,96.35,46.36,NA,20220918102785,2,0.513918698,0.147204235,HOU,DEN,DEN,HOU,3,1,10,6,9,"(7:56) 33-J.Williams right end to DEN 44 for 2 yards (50-M.Dwumfour, 5-J.Pitre). HOU-57-K.Pierre-Louis was injured during the play.",#002244,#FB4F14,#03202F,#A71930
2022091810,2785,35470,Jerry Hughes,59,BEFORE_SNAP,2022-09-18T22:26:00Z,55,HOU,left,67.73,28.56,0.09,0.6,0.01,95.14,64.03,NA,20220918102785,2,0.513918698,0.147204235,HOU,DEN,DEN,HOU,3,1,10,6,9,"(7:56) 33-J.Williams right end to DEN 44 for 2 yards (50-M.Dwumfour, 5-J.Pitre). HOU-57-K.Pierre-Louis was injured during the play.",#002244,#FB4F14,#03202F,#A71930
2022091810,2785,35470,Jerry Hughes,60,BEFORE_SNAP,2022-09-18T22:26:00Z,55,HOU,left,67.74,28.56,0.08,0.46,0.01,91.59,101.3,NA,20220918102785,2,0.513918698,0.147204235,HOU,DEN,DEN,HOU,3,1,10,6,9,"(7:56) 33-J.Williams right end to DEN 44 for 2 yards (50-M.Dwumfour, 5-J.Pitre). HOU-57-K.Pierre-Louis was injured during the play.",#002244,#FB4F14,#03202F,#A71930
